name,continent_name,city,country
"Four Points by Sheraton Hangzhou, Binjiang",Asia,Hangzhou,China
Ru Yi Boutique Hotel At West Lake,Asia,Hangzhou,China
Hilton Wuhan Optics Valley,Asia,Wuhan,China
Modena by Fraser Zhuankou Wuhan,Asia,Wuhan,China
Marco Polo Wuhan,Asia,Wuhan,China
Howard Johnson Pearl Plaza Wuhan,Asia,Wuhan,China
Jinjiang Inn Wuhan Jiangtan Pedestrian Street,Asia,Wuhan,China
Dorsett Wuhan,Asia,Wuhan,China
Primus Hotel Wuhan Hannan,Asia,Wuhan,China
Holiday Inn Wuhan Riverside,Asia,Wuhan,China
Jin Jiang International Hotel,Asia,Wuhan,China
Ramada Plaza Wuhan Optics Valley Hotel,Asia,Wuhan,China
Intercontinental Wuhan,Asia,Wuhan,China
Poly Hotel Wuhan,Asia,Wuhan,China
Wanda Reign Wuhan,Asia,Wuhan,China
Fairmont Wuhan,Asia,Wuhan,China
Hilton Wuhan Riverside,Asia,Wuhan,China
New World Wuhan Hotel,Asia,Wuhan,China
The Westin Wuhan Wuchang,Asia,Wuhan,China
"Shangri-La Hotel, Wuhan",Asia,Wuhan,China
Renaissance Wuhan Hotel,Asia,Wuhan,China
Wanda Realm Wuhan,Asia,Wuhan,China
"Optics Valley Kingdom Plaza ,Wuhan",Asia,Wuhan,China
Sheraton Grand Wuhan Hankou Hotel,Asia,Wuhan,China
Hyatt Regency Wuhan Optics Valley,Asia,Wuhan,China
Kingdom Shuyue Hotel,Asia,Wuhan,China
Jinjiang Inn Wuhan Shuiguohu,Asia,Wuhan,China
Ramada Plaza Tian LU Hotel Wuhan,Asia,Wuhan,China
New Beacon New Times International Hotel,Asia,Wuhan,China
Asia Hotel,Asia,Wuhan,China
Wuhan New Beacon International,Asia,Wuhan,China
Magnolia Wuhan Meiyuan Residential Area Metro Station Dingziqiao,Asia,Wuhan,China
The Leela Palace Bengaluru,Asia,Bengaluru,India
Hotel Royal Orchid Bangalore,Asia,Bengaluru,India
"Vivanta Bengaluru, Whitefield",Asia,Bengaluru,India
"The Oberoi, Bengaluru",Asia,Bengaluru,India
Lemon Tree Hotel Electronics City Bengaluru,Asia,Bengaluru,India
Shangri-La Hotel Bengaluru,Asia,Bengaluru,India
Hyatt Centric MG Road Bangalore,Asia,Bengaluru,India
"Taj Yeshwantpur, Bengaluru",Asia,Bengaluru,India
Ramada Encore by Wyndham Bangalore Domlur,Asia,Bengaluru,India
Taj West End,Asia,Bengaluru,India
Royal Orchid Central,Asia,Bengaluru,India
"ITC Windsor, Bengaluru - a Luxury Collection Hotel",Asia,Bengaluru,India
"Taj MG Road, Bengaluru",Asia,Bengaluru,India
Hilton Bangalore Embassy GolfLinks,Asia,Bengaluru,India
DoubleTree Suites By Hilton Bangalore,Asia,Bengaluru,India
Conrad Bengaluru,Asia,Bengaluru,India
Novotel Bengaluru Outer Ring Road,Asia,Bengaluru,India
Lemon Tree Hotel Whitefield,Asia,Bengaluru,India
Grand Mercure Bangalore,Asia,Bengaluru,India
Radisson Blu Bengaluru Outer Ring Road,Asia,Bengaluru,India
Keys Select Hotel Hosur Road,Asia,Bengaluru,India
Palm Meadows Club,Asia,Bengaluru,India
